study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2827	SAMEA1466129	ERS085430	ERX100835	ERR124653	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124653/ERR124653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124653/ERR124653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124653/ERR124653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124653/ERR124653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124653/7553_7#61.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124653/7553_7#61.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124653	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124653		
PRJEB2827	SAMEA1466110	ERS085431	ERX100836	ERR124654	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124654/ERR124654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124654/ERR124654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124654/ERR124654_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124654/ERR124654_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124654/7553_7#62.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124654/7553_7#62.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124654	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124654		
PRJEB2827	SAMEA1466123	ERS085432	ERX100837	ERR124655	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124655/ERR124655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124655/ERR124655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124655/ERR124655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124655/ERR124655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124655/7553_7#63.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124655/7553_7#63.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124655	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124655		
PRJEB2827	SAMEA1466103	ERS085433	ERX100838	ERR124656	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124656/ERR124656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124656/ERR124656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124656/ERR124656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124656/ERR124656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124656/7553_7#64.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124656/7553_7#64.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124656	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124656		
PRJEB2827	SAMEA1466147	ERS085434	ERX100839	ERR124657	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124657/ERR124657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124657/ERR124657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124657/ERR124657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124657/ERR124657_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124657/7553_7#65.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124657/7553_7#65.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124657	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124657		
PRJEB2827	SAMEA1466172	ERS085435	ERX100840	ERR124658	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124658/ERR124658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124658/ERR124658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124658/ERR124658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124658/ERR124658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124658/7553_7#66.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124658/7553_7#66.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124658	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124658		
PRJEB2827	SAMEA1466184	ERS085436	ERX100841	ERR124659	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124659/ERR124659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124659/ERR124659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124659/ERR124659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124659/ERR124659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124659/7553_7#67.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124659/7553_7#67.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124659	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124659		
PRJEB2827	SAMEA1466197	ERS085437	ERX100842	ERR124660	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124660/ERR124660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124660/ERR124660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124660/ERR124660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124660/ERR124660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124660/7553_7#68.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124660/7553_7#68.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124660	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124660		
PRJEB2827	SAMEA1466193	ERS085438	ERX100843	ERR124661	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124661/ERR124661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124661/ERR124661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124661/ERR124661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124661/ERR124661_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124661/7553_7#69.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124661/7553_7#69.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124661	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124661		
PRJEB2827	SAMEA1466097	ERS085439	ERX100844	ERR124662	562	Escherichia coli	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124662/ERR124662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124662/ERR124662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124662/ERR124662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124662/ERR124662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124662/7553_7#70.bam	ftp.sra.ebi.ac.uk/vol1/run/ERR124/ERR124662/7553_7#70.bam	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124662	ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124662		
