Assembly	Level	WGS	BioSample	Strain	Taxonomy
GCA_001286545.1	Scaffold	CYGM00000000	SAMEA1531057	G401529	Escherichia coli
GCA_001286625.1	Scaffold	CYGQ00000000	SAMEA1531009	100446	Escherichia coli
GCA_001286605.1	Contig	CYGJ00000000	SAMEA1531053	200499	Escherichia coli
GCA_001286505.1	Scaffold	CYGN00000000	SAMEA1531038	302619	Escherichia coli
GCA_001286485.1	Scaffold	CYGI00000000	SAMEA1531059	703108	Escherichia coli
GCA_001286465.1	Contig	CYGH00000000	SAMEA1466098	100600_aEPEC	Escherichia coli
GCA_001286445.1	Scaffold	CYFK00000000	SAMEA1531063	500094	Escherichia coli
GCA_001286585.1	Scaffold	CYGO00000000	SAMEA1531017	700863	Escherichia coli
GCA_001286565.1	Contig	CYGK00000000	SAMEA1531051	155388	Escherichia coli
GCA_001286665.1	Scaffold	CYGR00000000	SAMEA1466147	401480_aEPEC	Escherichia coli
GCA_001286645.1	Scaffold	CYGP00000000	SAMEA1531027	500193	Escherichia coli
GCA_001283845.1	Contig	CYBW00000000	SAMEA1466105	702898_aEPEC	Escherichia coli
GCA_001283885.1	Contig	CXZP00000000	SAMEA1466170	300711_aEPEC	Escherichia coli
GCA_001283945.1	Scaffold	CYCN00000000	SAMEA1466173	300814_aEPEC	Escherichia coli
GCA_001283925.1	Contig	CYAK00000000	SAMEA1466142	501029_aEPEC	Escherichia coli
GCA_001283985.1	Scaffold	CXZF00000000	SAMEA1466184	202521_aEPEC	Escherichia coli
GCA_001283965.1	Contig	CYER00000000	SAMEA1531041	202374	Escherichia coli
GCA_001284025.1	Contig	CYBL00000000	SAMEA1466175	400549_aEPEC	Escherichia coli
GCA_001284005.1	Scaffold	CXZU00000000	SAMEA1466106	504888_aEPEC	Escherichia coli
GCA_001284065.1	Scaffold	CYFE00000000	SAMEA1530980	402794	Escherichia coli
GCA_001284045.1	Scaffold	CYDH00000000	SAMEA1530985	403728	Escherichia coli
GCA_001284105.1	Scaffold	CYEY00000000	SAMEA1531043	302613	Escherichia coli
GCA_001284085.1	Contig	CXZS00000000	SAMEA1466097	402138_aEPEC	Escherichia coli
GCA_001284125.1	Contig	CYDT00000000	SAMEA1531008	702566	Escherichia coli
GCA_001284185.1	Contig	CYFC00000000	SAMEA1531010	201350	Escherichia coli
GCA_001284205.1	Contig	CYAC00000000	SAMEA1466111	202443_aEPEC	Escherichia coli
GCA_001284265.1	Contig	CYBQ00000000	SAMEA1466155	401250_aEPEC	Escherichia coli
GCA_001284245.1	Scaffold	CYCP00000000	SAMEA1466180	402097_aEPEC	Escherichia coli
GCA_001284305.1	Contig	CXZM00000000	SAMEA1466163	700337	Escherichia coli
GCA_001284345.1	Scaffold	CYFA00000000	SAMEA1531068	500095	Escherichia coli
GCA_001284385.1	Scaffold	CYEN00000000	SAMEA1531044	401352	Escherichia coli
GCA_001284405.1	Scaffold	CYFD00000000	SAMEA1530986	403523	Escherichia coli
GCA_001284465.1	Contig	CYBN00000000	SAMEA1466158	201381_aEPEC	Escherichia coli
GCA_001284445.1	Contig	CYBV00000000	SAMEA1466169	102014_aEPEC	Escherichia coli
GCA_001284505.1	Contig	CYAZ00000000	SAMEA1466151	403308_aEPEC	Escherichia coli
GCA_001284485.1	Scaffold	CYFQ00000000	SAMEA1531031	401553	Escherichia coli
GCA_001284545.1	Contig	CYBM00000000	SAMEA1466183	400654_aEPEC	Escherichia coli
GCA_001284525.1	Contig	CYCQ00000000	SAMEA1466116	702890_aEPEC	Escherichia coli
GCA_001284585.1	Scaffold	CYDN00000000	SAMEA1531048	202387	Escherichia coli
GCA_001284565.1	Contig	CYCL00000000	SAMEA1466113	300812_aEPEC	Escherichia coli
GCA_001284625.1	Scaffold	CYEU00000000	SAMEA1531066	703063	Escherichia coli
GCA_001284605.1	Contig	CXZJ00000000	SAMEA1466199	500275_aEPEC	Escherichia coli
GCA_001284665.1	Contig	CXZO00000000	SAMEA1466115	503459_aEPEC	Escherichia coli
GCA_001284705.1	Scaffold	CYDE00000000	SAMEA1531004	500989	Escherichia coli
GCA_001284745.1	Contig	CYCR00000000	SAMEA1466108	401709_aEPEC	Escherichia coli
GCA_001284725.1	Contig	CXZC00000000	SAMEA1466200	504225_aEPEC	Escherichia coli
GCA_001284785.1	Contig	CYAH00000000	SAMEA1466187	500618_aEPEC	Escherichia coli
GCA_001284765.1	Contig	CXZN00000000	SAMEA1466148	504300_aEPEC	Escherichia coli
GCA_001284825.1	Scaffold	CYBJ00000000	SAMEA1466145	200758_aEPEC	Escherichia coli
GCA_001284805.1	Contig	CYAM00000000	SAMEA1466143	202833_aEPEC	Escherichia coli
GCA_001284865.1	Scaffold	CYFJ00000000	SAMEA1530990	503320	Escherichia coli
GCA_001284905.1	Contig	CYDV00000000	SAMEA1530998	401082	Escherichia coli
GCA_001284885.1	Scaffold	CYDM00000000	SAMEA1531005	504180	Escherichia coli
GCA_001285025.1	Scaffold	CYBF00000000	SAMEA1466202	702161	Escherichia coli
GCA_001285005.1	Scaffold	CYDK00000000	SAMEA1531030	504718	Escherichia coli
GCA_001285105.1	Contig	CYAU00000000	SAMEA1466164	504449	Escherichia coli
GCA_001285085.1	Scaffold	CYDA00000000	SAMEA1531056	403066	Escherichia coli
GCA_001285065.1	Contig	CYDR00000000	SAMEA1531026	702328	Escherichia coli
GCA_001285045.1	Contig	CYCA00000000	SAMEA1466149	403726_aEPEC	Escherichia coli
GCA_001284985.1	Scaffold	CYDJ00000000	SAMEA1531015	504324	Escherichia coli
GCA_001284945.1	Scaffold	CYDL00000000	SAMEA1531021	504528	Escherichia coli
GCA_001284925.1	Contig	CYDD00000000	SAMEA1466162	400897_aEPEC	Escherichia coli
GCA_001286425.1	Scaffold	CXZL00000000	SAMEA1466197	203470_aEPEC	Escherichia coli
GCA_001286405.1	Scaffold	CYAY00000000	SAMEA1466152	300086_aEPEC	Escherichia coli
GCA_001286385.1	Contig	CYAT00000000	SAMEA1466186	402770_aEPEC	Escherichia coli
GCA_001286365.1	Contig	CYAL00000000	SAMEA1466107	402248_aEPEC	Escherichia coli
GCA_001286325.1	Scaffold	CYEX00000000	SAMEA1530993	402842	Escherichia coli
GCA_001286305.1	Scaffold	CYFU00000000	SAMEA1531050	G603423	Escherichia coli
GCA_001286285.1	Scaffold	CYCT00000000	SAMEA1466141	503891_aEPEC	Escherichia coli
GCA_001286225.1	Contig	CXZQ00000000	SAMEA1466161	500858_aEPEC	Escherichia coli
GCA_001286205.1	Scaffold	CYBE00000000	SAMEA1466117	703975_aEPEC	Escherichia coli
GCA_001286185.1	Contig	CYCM00000000	SAMEA1466100	102366_aEPEC	Escherichia coli
GCA_001286165.1	Contig	CYBA00000000	SAMEA1466174	700495	Escherichia coli
GCA_001286145.1	Scaffold	CYAW00000000	SAMEA1466110	503947_aEPEC	Escherichia coli
GCA_001286125.1	Scaffold	CYFG00000000	SAMEA1530996	302710	Escherichia coli
GCA_001286105.1	Scaffold	CYFB00000000	SAMEA1531020	202474	Escherichia coli
GCA_001286085.1	Scaffold	CYCK00000000	SAMEA1466109	102606_aEPEC	Escherichia coli
GCA_001286045.1	Scaffold	CYCD00000000	SAMEA1466165	503238_aEPEC	Escherichia coli
GCA_001286025.1	Contig	CYCV00000000	SAMEA1531049	402924	Escherichia coli
GCA_001286005.1	Contig	CYBU00000000	SAMEA1466119	402480_aEPEC	Escherichia coli
GCA_001285985.1	Scaffold	CYBD00000000	SAMEA1466185	102328_aEPEC	Escherichia coli
GCA_001285965.1	Scaffold	CYDF00000000	SAMEA1531064	402635	Escherichia coli
GCA_001285945.1	Scaffold	CYFT00000000	SAMEA1531061	402617	Escherichia coli
GCA_001285905.1	Scaffold	CYFR00000000	SAMEA1531040	G302544	Escherichia coli
GCA_001285885.1	Contig	CYDG00000000	SAMEA1466182	402227_aEPEC	Escherichia coli
GCA_001285865.1	Contig	CYAX00000000	SAMEA1466103	505513_aEPEC	Escherichia coli
GCA_001285845.1	Contig	CYBY00000000	SAMEA1466195	402780	Escherichia coli
